"","time","A1","A2","A3","A4","A5","A6","F1","F2","F3","F4","F5","F6","L2","L3","L5","L6","L8","L9","blank"
"76",18.75,0.3015,0.306325,0.3095,0.3116,0.32055,0.3193,0.280875,0.285525,0.2882,0.282675,0.2895,0.2915,0.283825,0.2828,0.284,0.28255,0.280575,0.2895,0.0875791666666667
"77",19,0.301325,0.3059,0.3093,0.311975,0.320125,0.31915,0.28025,0.28425,0.288075,0.28235,0.28885,0.2905,0.28455,0.282225,0.283425,0.282075,0.279525,0.29035,0.0876208333333333
"78",19.25,0.3005,0.305275,0.30895,0.310975,0.318625,0.3186,0.2795,0.2843,0.287475,0.281925,0.288325,0.29,0.2832,0.281625,0.28275,0.28145,0.2789,0.28935,0.0874708333333333
"79",19.5,0.30015,0.3052,0.30865,0.310825,0.318225,0.319175,0.278875,0.28355,0.2868,0.281325,0.28745,0.289925,0.283025,0.281125,0.282325,0.280825,0.2784,0.28895,0.0873833333333333
"80",19.75,0.299925,0.3046,0.30805,0.309975,0.3182,0.31775,0.27845,0.2827,0.2859,0.28075,0.287125,0.289325,0.282825,0.280725,0.281575,0.28025,0.277925,0.2883,0.0873583333333333
"81",20,0.299125,0.304925,0.30825,0.309925,0.31785,0.317425,0.277925,0.282725,0.285425,0.28,0.286575,0.288875,0.28125,0.28045,0.281225,0.280025,0.277675,0.287525,0.0875083333333333
"82",20.25,0.29975,0.30405,0.30745,0.309525,0.31675,0.317675,0.277675,0.282075,0.285125,0.2803,0.286025,0.2886,0.28275,0.2801,0.28085,0.2794,0.277,0.2881,0.0876083333333333
"83",20.5,0.2985,0.303525,0.307225,0.308675,0.3164,0.31655,0.2769,0.28205,0.284675,0.27915,0.2854,0.287625,0.281175,0.27915,0.280125,0.2786,0.27645,0.286,0.0875083333333333
"84",20.75,0.29815,0.303425,0.30685,0.308325,0.316325,0.315925,0.27625,0.281275,0.2847,0.27845,0.285125,0.287275,0.27975,0.278625,0.2799,0.278125,0.275775,0.2857,0.0874041666666667
"85",21,0.298275,0.3028,0.30695,0.308025,0.315725,0.315725,0.275675,0.28105,0.2839,0.27825,0.284575,0.286875,0.2796,0.278575,0.27985,0.277375,0.275475,0.28645,0.0874125
"86",21.25,0.297875,0.302725,0.30595,0.308225,0.315475,0.315325,0.275125,0.28065,0.28325,0.277625,0.28415,0.286425,0.278425,0.27795,0.27885,0.2774,0.2749,0.2838,0.0874333333333333
"87",21.5,0.296775,0.3024,0.30565,0.307925,0.315475,0.3151,0.27465,0.280475,0.282875,0.277025,0.2838,0.285675,0.27845,0.277675,0.27875,0.276575,0.274625,0.284025,0.0874291666666667
